Array,layer_thick,orientation,infill_pattern,infill_density,mwcnt,graphene,tensile_str,flexural_str
L1,0.19,Flat,Linear,50,0.0,0.0,24.96,29.64
L2,0.19,Flat,Linear,50,0.0,0.0,22.19,42.01
L3,0.19,Flat,Linear,50,0.0,0.0,26.01,40.38
L4,0.19,On Long Edge,Grid,70,0.0,0.0,28.34,43.45
L5,0.19,On Long Edge,Grid,70,0.0,0.0,27.31,43.66
L6,0.19,On Long Edge,Grid,70,0.0,0.0,27.26,44.49
L7,0.19,On Short Edge,Honeycomb,90,0.0,0.0,5.79,12.63
L8,0.19,On Short Edge,Honeycomb,90,0.0,0.0,8.36,16.47
L9,0.19,On Short Edge,Honeycomb,90,0.0,0.0,6.36,17.63
L10,0.29,Flat,Grid,90,0.0,0.0,26.61,35.19
L11,0.29,Flat,Grid,90,0.0,0.0,26.8,39.28
L12,0.29,Flat,Grid,90,0.0,0.0,24.7,39.33
L13,0.29,On Long Edge,Honeycomb,50,0.0,0.0,24.77,38.88
L14,0.29,On Long Edge,Honeycomb,50,0.0,0.0,23.14,36.52
L15,0.29,On Long Edge,Honeycomb,50,0.0,0.0,22.67,38.48
L16,0.29,On Short Edge,Linear,70,0.0,0.0,8.89,12.31
L17,0.29,On Short Edge,Linear,70,0.0,0.0,8.4,14.21
L18,0.29,On Short Edge,Linear,70,0.0,0.0,7.63,17.52
L19,0.39,Flat,Honeycomb,70,0.0,0.0,20.93,26.15
L20,0.39,Flat,Honeycomb,70,0.0,0.0,19.6,28.06
L21,0.39,Flat,Honeycomb,70,0.0,0.0,19.95,26.09
L22,0.39,On Long Edge,Linear,90,0.0,0.0,23.33,43.6
L23,0.39,On Long Edge,Linear,90,0.0,0.0,23.54,45.3
L24,0.39,On Long Edge,Linear,90,0.0,0.0,23.52,43.96
L25,0.39,On Short Edge,Grid,50,0.0,0.0,11.4,15.16
L26,0.39,On Short Edge,Grid,50,0.0,0.0,9.63,16.56
L27,0.39,On Short Edge,Grid,50,0.0,0.0,10.03,14.74
L1,0.19,Flat,Linear,50,0.5,0.0,24.69,37.97
L2,0.19,Flat,Linear,50,0.5,0.0,26.4,35.29
L3,0.19,Flat,Linear,50,0.5,0.0,25.31,42.96
L4,0.19,On Long Edge,Grid,70,0.5,0.0,30.17,38.74
L5,0.19,On Long Edge,Grid,70,0.5,0.0,30.22,40.13
L6,0.19,On Long Edge,Grid,70,0.5,0.0,28.99,43.98
L7,0.19,On Short Edge,Honeycomb,90,0.5,0.0,9.65,15.13
L8,0.19,On Short Edge,Honeycomb,90,0.5,0.0,7.56,21.56
